N_vals,throughput,stationary
1,3.0,0.0
2,3.0,0.0
3,3.0,0.0
4,2.0,0.0
5,4.0,0.0
6,3.0,0.0
7,3.0,0.0
8,3.0,0.0
9,3.0,0.0
10,3.0,0.0
11,3.0,0.0
12,2.0,0.0
13,3.0,0.0
14,3.0,0.0
15,4.0,0.0
16,2.0,0.0
17,3.0,0.0
18,4.0,0.0
19,2.0,0.0
20,3.0,0.0
21,3.0,0.0
22,4.0,0.0
23,3.0,0.0
24,2.0,0.0
25,3.0,0.0
26,3.0,0.0
27,3.0,0.0
28,3.0,0.0
29,3.0,0.0
30,2.0,0.0
31,4.0,0.0
32,3.0,0.0
33,2.0,0.0
34,4.0,0.0
35,2.0,0.0
36,3.0,0.0
37,4.0,0.0
38,2.0,0.0
39,4.0,0.0
40,1.0,0.0
41,4.0,0.0
42,3.0,0.0
43,3.0,0.0
44,3.0,0.0
45,3.0,0.0
46,2.0,0.0
47,4.0,0.0
48,2.0,0.0
49,3.0,0.0
50,4.0,0.0
51,1.0,0.0
52,4.0,0.0
53,3.0,0.0
54,4.0,0.0
55,2.0,0.0
56,3.0,0.0
57,3.0,0.0
58,3.0,0.0
59,4.0,0.0
60,2.0,0.0
61,3.0,0.0
62,4.0,0.0
63,1.0,0.0
64,3.0,0.0
65,5.0,0.0
66,2.0,0.0
67,2.0,0.0
68,3.0,0.0
69,4.0,0.0
70,4.0,0.0
71,1.0,0.0
72,3.0,0.0
73,4.0,0.0
74,3.0,0.0
75,3.0,0.0
76,1.0,0.0
77,4.0,0.0
78,2.0,0.0
79,5.0,0.0
80,2.0,0.0
81,3.0,0.0
82,3.0,0.0
83,2.0,0.0
84,4.0,0.0
85,4.0,0.0
86,1.0,0.0
87,2.0,0.0
88,4.0,0.0
89,3.0,0.0
90,3.0,0.0
91,3.0,0.0
92,3.0,0.0
93,2.0,0.0
94,3.0,0.0
95,5.0,0.0
96,3.0,0.0
97,3.0,0.0
98,1.0,0.0
99,4.0,0.0
100,3.0,0.0
101,2.0,0.0
102,3.0,0.0
103,3.0,0.0
104,3.0,0.0
105,4.0,0.0
106,2.0,0.0
107,3.0,0.0
108,3.0,0.0
109,2.0,0.0
110,4.0,0.0
111,2.0,0.0
112,4.0,0.0
113,4.0,0.0
114,2.0,0.0
115,2.0,0.0
116,3.0,0.0
117,4.0,0.0
118,3.0,0.0
119,3.0,0.0
120,3.0,0.0
121,3.0,0.0
122,2.0,0.0
123,5.0,0.0
124,1.0,0.0
125,3.0,0.0
126,5.0,0.0
127,2.0,0.0
128,1.0,0.0
129,5.0,0.0
130,3.0,0.0
131,4.0,0.0
132,2.0,0.0
133,1.0,0.0
134,5.0,0.0
135,2.0,0.0
136,4.0,0.0
137,1.0,0.0
138,3.0,0.0
139,4.0,0.0
140,2.0,0.0
141,3.0,0.0
142,3.0,0.0
143,4.0,0.0
144,2.0,0.0
145,2.0,0.0
146,3.0,0.0
147,3.0,0.0
148,5.0,0.0
149,2.0,0.0
150,3.0,0.0
151,3.0,0.0
152,3.0,0.0
153,3.0,0.0
154,3.0,0.0
155,2.0,0.0
156,3.0,0.0
157,3.0,0.0
158,4.0,0.0
159,3.0,0.0
160,1.0,0.0
161,5.0,0.0
162,3.0,0.0
163,1.0,0.0
164,4.0,0.0
165,4.0,0.0
166,3.0,0.0
167,2.0,0.0
168,3.0,0.0
169,3.0,0.0
170,2.0,0.0
171,4.0,0.0
172,2.0,0.0
173,4.0,0.0
174,2.0,0.0
175,3.0,0.0
176,1.0,0.0
177,5.0,0.0
178,2.0,0.0
179,3.0,0.0
180,4.0,0.0
181,3.0,0.0
182,3.0,0.0
183,4.0,0.0
184,2.0,0.0
185,4.0,0.0
186,3.0,0.0
187,2.0,0.0
188,2.0,0.0
189,5.0,0.0
190,2.0,0.0
191,3.0,0.0
192,4.0,0.0
193,2.0,0.0
194,3.0,0.0
195,3.0,0.0
196,4.0,0.0
197,2.0,0.0
198,3.0,0.0
199,2.0,0.0
200,5.0,0.0
201,2.0,0.0
202,3.0,0.0
203,3.0,0.0
204,2.0,0.0
205,2.0,0.0
206,4.0,0.0
207,3.0,0.0
208,3.0,0.0
209,3.0,0.0
210,2.0,0.0
211,3.0,0.0
212,2.0,0.0
213,5.0,0.0
214,0.0,0.0
215,4.0,0.0
216,3.0,0.0
217,3.0,0.0
218,2.0,0.0
219,4.0,0.0
220,5.0,0.0
221,3.0,0.0
222,1.0,0.0
223,2.0,0.0
224,5.0,0.0
225,2.0,0.0
226,5.0,0.0
227,1.0,0.0
228,4.0,0.0
229,0.0,0.0
230,5.0,0.0
231,4.0,0.0
232,3.0,0.0
233,1.0,0.0
234,1.0,0.0
235,5.0,0.0
236,4.0,0.0
237,2.0,0.0
238,4.0,0.0
239,3.0,0.0
240,2.0,0.0
241,4.0,0.0
242,4.0,0.0
243,3.0,0.0
244,3.0,0.0
245,4.0,0.0
246,1.0,0.0
247,2.0,0.0
248,4.0,0.0
249,2.0,0.0
250,3.0,0.0
251,1.0,0.0
252,3.0,0.0
253,4.0,0.0
254,5.0,0.0
255,2.0,0.0
256,4.0,0.0
257,2.0,0.0
258,4.0,0.0
259,1.0,0.0
260,4.0,0.0
261,3.0,0.0
262,4.0,0.0
263,0.0,0.0
264,4.0,0.0
265,3.0,0.0
266,4.0,0.0
267,2.0,0.0
268,3.0,0.0
269,4.0,0.0
