N_vals,throughput,stationary
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,1.0,0.0
11,2.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,2.0,0.0
16,1.0,0.0
17,1.0,0.0
18,0.0,0.0
19,2.0,0.0
20,1.0,0.0
21,0.0,0.0
22,2.0,0.0
23,1.0,0.0
24,0.0,0.0
25,3.0,0.0
26,1.0,0.0
27,0.0,0.0
28,1.0,0.0
29,2.0,0.0
30,1.0,0.0
31,0.0,0.0
32,2.0,0.0
33,0.0,0.0
34,1.0,0.0
35,2.0,0.0
36,1.0,0.0
37,2.0,0.0
38,0.0,0.0
39,1.0,0.0
40,2.0,0.0
41,1.0,0.0
42,1.0,0.0
43,1.0,0.0
44,1.0,0.0
45,1.0,0.0
46,0.0,0.0
47,2.0,0.0
48,1.0,0.0
49,2.0,0.0
50,1.0,0.0
51,1.0,0.0
52,0.0,0.0
53,2.0,0.0
54,1.0,0.0
55,1.0,0.0
56,3.0,0.0
57,0.0,0.0
58,1.0,0.0
59,0.0,0.0
60,2.0,0.0
61,1.0,0.0
62,2.0,0.0
63,0.0,0.0
64,1.0,0.0
65,2.0,0.0
66,0.0,0.0
67,1.0,0.0
68,1.0,0.0
69,2.0,0.0
70,1.0,0.0
71,0.0,0.0
72,1.0,0.0
73,0.0,0.0
74,2.0,0.0
75,3.0,0.0
76,0.0,0.0
77,1.0,0.0
78,1.0,0.0
79,1.0,0.0
80,1.0,0.0
81,1.0,0.0
82,1.0,0.0
83,0.0,0.0
84,3.0,0.0
85,1.0,0.0
86,1.0,0.0
87,2.0,0.0
88,0.0,0.0
89,2.0,0.0
90,0.0,0.0
91,1.0,0.0
92,2.0,0.0
93,2.0,0.0
94,0.0,0.0
95,2.0,0.0
96,0.0,0.0
97,1.0,0.0
98,2.0,0.0
99,1.0,0.0
100,1.0,0.0
101,1.0,0.0
102,1.0,0.0
103,1.0,0.0
104,2.0,0.0
105,0.0,0.0
106,1.0,0.0
107,1.0,0.0
108,0.0,0.0
109,3.0,0.0
110,0.0,0.0
111,1.0,0.0
112,1.0,0.0
113,1.0,0.0
114,1.0,0.0
115,3.0,0.0
116,1.0,0.0
117,1.0,0.0
118,0.0,0.0
119,1.0,0.0
120,1.0,0.0
121,1.0,0.0
122,1.0,0.0
123,1.0,0.0
124,1.0,0.0
125,0.0,0.0
126,1.0,0.0
127,2.0,0.0
128,3.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,1.0,0.0
133,3.0,0.0
134,2.0,0.0
135,0.0,0.0
136,2.0,0.0
137,2.0,0.0
138,1.0,0.0
139,0.0,0.0
140,1.0,0.0
141,0.0,0.0
142,1.0,0.0
143,0.0,0.0
144,2.0,0.0
145,2.0,0.0
146,1.0,0.0
