cells_per_vehicle,mean_throughput,mean_stationary,rms_throughput,rms_stationary
2,2.7552,986.84465,0.005788338677779484,0.24892405547802215
3,3.47559,250.17835,0.00545537708416224,0.15878449212037177
4,3.40489,0.00071,0.00462667860787157,0.000163997646179105
5,2.72919,3e-05,0.004414058708050511,2.2360590331221626e-05
6,2.27745,0.0,0.004233496687131877,0.0
7,1.95235,0.0,0.004008011404243274,0.0
8,1.70862,0.0,0.0038277831019085506,0.0
9,1.51924,0.0,0.003657735913694604,0.0
