step,throughput,stationary
320,0.0,0.0
321,0.0,0.0
322,1.0,0.0
323,1.0,0.0
324,2.0,0.0
325,3.0,0.0
326,0.0,0.0
327,0.0,0.0
328,3.0,0.0
329,2.0,0.0
330,2.0,0.0
331,0.0,0.0
332,1.0,0.0
333,2.0,0.0
334,0.0,0.0
335,3.0,0.0
336,0.0,0.0
337,0.0,0.0
338,1.0,0.0
339,1.0,0.0
340,1.0,0.0
341,1.0,0.0
342,0.0,0.0
343,3.0,0.0
344,1.0,0.0
345,2.0,0.0
346,0.0,0.0
347,0.0,0.0
348,1.0,0.0
349,1.0,0.0
350,2.0,0.0
351,0.0,0.0
352,0.0,0.0
353,2.0,0.0
354,2.0,0.0
355,2.0,0.0
356,2.0,0.0
357,0.0,0.0
358,1.0,0.0
359,2.0,0.0
360,0.0,0.0
361,0.0,0.0
362,2.0,0.0
363,0.0,0.0
364,0.0,0.0
365,2.0,0.0
366,2.0,0.0
367,1.0,0.0
368,1.0,0.0
369,2.0,0.0
370,1.0,0.0
371,2.0,0.0
372,2.0,0.0
373,0.0,0.0
374,0.0,0.0
375,1.0,0.0
376,2.0,0.0
377,2.0,0.0
378,0.0,0.0
379,1.0,0.0
380,0.0,0.0
381,2.0,0.0
382,1.0,0.0
383,0.0,0.0
384,1.0,0.0
385,3.0,0.0
386,2.0,0.0
387,1.0,0.0
388,0.0,0.0
389,0.0,0.0
390,2.0,0.0
391,1.0,0.0
392,1.0,0.0
393,1.0,0.0
394,2.0,0.0
395,0.0,0.0
396,1.0,0.0
397,3.0,0.0
398,0.0,0.0
399,1.0,0.0
400,1.0,0.0
401,1.0,0.0
402,1.0,0.0
403,2.0,0.0
404,1.0,0.0
405,0.0,0.0
406,1.0,0.0
407,1.0,0.0
408,0.0,0.0
409,1.0,0.0
410,3.0,0.0
411,0.0,0.0
412,2.0,0.0
413,1.0,0.0
414,2.0,0.0
415,1.0,0.0
416,0.0,0.0
417,0.0,0.0
418,2.0,0.0
419,1.0,0.0
420,1.0,0.0
421,1.0,0.0
422,2.0,0.0
423,0.0,0.0
424,2.0,0.0
425,1.0,0.0
426,0.0,0.0
427,3.0,0.0
428,1.0,0.0
429,1.0,0.0
430,0.0,0.0
431,3.0,0.0
432,1.0,0.0
433,1.0,0.0
434,1.0,0.0
435,1.0,0.0
436,0.0,0.0
437,1.0,0.0
438,2.0,0.0
439,0.0,0.0
440,1.0,0.0
441,0.0,0.0
442,2.0,0.0
443,1.0,0.0
444,2.0,0.0
445,2.0,0.0
446,1.0,0.0
447,2.0,0.0
448,0.0,0.0
449,1.0,0.0
450,1.0,0.0
451,1.0,0.0
452,2.0,0.0
453,2.0,0.0
454,0.0,0.0
455,0.0,0.0
456,3.0,0.0
457,0.0,0.0
458,1.0,0.0
459,1.0,0.0
460,1.0,0.0
461,1.0,0.0
462,2.0,0.0
463,0.0,0.0
464,1.0,0.0
465,2.0,0.0
466,1.0,0.0
467,0.0,0.0
468,0.0,0.0
469,3.0,0.0
470,1.0,0.0
471,2.0,0.0
472,0.0,0.0
473,1.0,0.0
474,0.0,0.0
475,1.0,0.0
476,1.0,0.0
477,2.0,0.0
478,1.0,0.0
479,2.0,0.0
480,1.0,0.0
481,1.0,0.0
482,2.0,0.0
483,2.0,0.0
484,0.0,0.0
485,1.0,0.0
486,0.0,0.0
487,1.0,0.0
488,0.0,0.0
489,1.0,0.0
490,2.0,0.0
491,1.0,0.0
492,0.0,0.0
493,3.0,0.0
494,1.0,0.0
495,2.0,0.0
496,1.0,0.0
497,0.0,0.0
498,0.0,0.0
499,2.0,0.0
500,2.0,0.0
501,1.0,0.0
502,0.0,0.0
503,2.0,0.0
504,1.0,0.0
505,2.0,0.0
506,0.0,0.0
507,1.0,0.0
508,2.0,0.0
509,1.0,0.0
510,2.0,0.0
511,1.0,0.0
512,0.0,0.0
513,1.0,0.0
514,1.0,0.0
515,1.0,0.0
516,0.0,0.0
517,2.0,0.0
518,0.0,0.0
519,2.0,0.0
520,1.0,0.0
521,1.0,0.0
522,1.0,0.0
523,2.0,0.0
524,0.0,0.0
525,3.0,0.0
526,0.0,0.0
527,1.0,0.0
528,3.0,0.0
529,0.0,0.0
530,3.0,0.0
531,1.0,0.0
532,0.0,0.0
533,1.0,0.0
534,1.0,0.0
535,0.0,0.0
536,1.0,0.0
537,0.0,0.0
538,3.0,0.0
539,2.0,0.0
540,2.0,0.0
541,0.0,0.0
542,0.0,0.0
543,1.0,0.0
544,2.0,0.0
545,0.0,0.0
546,1.0,0.0
547,0.0,0.0
548,0.0,0.0
549,1.0,0.0
550,1.0,0.0
551,4.0,0.0
552,2.0,0.0
553,0.0,0.0
554,2.0,0.0
555,1.0,0.0
556,1.0,0.0
557,1.0,0.0
558,1.0,0.0
559,1.0,0.0
560,0.0,0.0
561,1.0,0.0
562,1.0,0.0
563,0.0,0.0
564,1.0,0.0
565,2.0,0.0
566,0.0,0.0
567,2.0,0.0
568,2.0,0.0
569,2.0,0.0
570,0.0,0.0
571,2.0,0.0
572,0.0,0.0
573,2.0,0.0
574,0.0,0.0
575,2.0,0.0
576,1.0,0.0
577,1.0,0.0
578,2.0,0.0
579,2.0,0.0
580,0.0,0.0
581,0.0,0.0
582,2.0,0.0
583,1.0,0.0
584,1.0,0.0
585,1.0,0.0
586,2.0,0.0
587,0.0,0.0
588,0.0,0.0
589,0.0,0.0
590,3.0,0.0
591,1.0,0.0
592,0.0,0.0
593,0.0,0.0
594,0.0,0.0
595,2.0,0.0
596,1.0,0.0
597,2.0,0.0
598,1.0,0.0
599,2.0,0.0
600,3.0,0.0
601,0.0,0.0
602,0.0,0.0
603,2.0,0.0
604,1.0,0.0
605,1.0,0.0
606,1.0,0.0
607,0.0,0.0
608,3.0,0.0
609,0.0,0.0
610,3.0,0.0
611,1.0,0.0
612,1.0,0.0
613,2.0,0.0
614,0.0,0.0
615,1.0,0.0
616,1.0,0.0
617,2.0,0.0
618,1.0,0.0
619,1.0,0.0
620,0.0,0.0
621,2.0,0.0
622,0.0,0.0
623,0.0,0.0
624,0.0,0.0
625,2.0,0.0
626,2.0,0.0
627,2.0,0.0
628,1.0,0.0
629,1.0,0.0
630,0.0,0.0
631,0.0,0.0
632,2.0,0.0
633,0.0,0.0
634,2.0,0.0
635,0.0,0.0
636,2.0,0.0
637,3.0,0.0
638,1.0,0.0
639,2.0,0.0
640,0.0,0.0
641,2.0,0.0
642,2.0,0.0
643,2.0,0.0
644,1.0,0.0
645,0.0,0.0
646,1.0,0.0
647,0.0,0.0
648,0.0,0.0
649,1.0,0.0
650,2.0,0.0
651,2.0,0.0
652,2.0,0.0
653,1.0,0.0
654,0.0,0.0
655,0.0,0.0
656,3.0,0.0
657,0.0,0.0
658,0.0,0.0
659,2.0,0.0
660,1.0,0.0
661,2.0,0.0
662,1.0,0.0
663,0.0,0.0
664,0.0,0.0
665,2.0,0.0
666,0.0,0.0
667,1.0,0.0
668,1.0,0.0
669,4.0,0.0
670,0.0,0.0
671,2.0,0.0
672,1.0,0.0
673,0.0,0.0
674,1.0,0.0
675,0.0,0.0
676,0.0,0.0
677,3.0,0.0
678,0.0,0.0
679,1.0,0.0
680,2.0,0.0
681,0.0,0.0
682,1.0,0.0
683,4.0,0.0
684,0.0,0.0
685,0.0,0.0
686,2.0,0.0
687,0.0,0.0
688,2.0,0.0
689,4.0,0.0
690,0.0,0.0
691,0.0,0.0
692,0.0,0.0
693,0.0,0.0
694,1.0,0.0
695,2.0,0.0
696,0.0,0.0
697,3.0,0.0
698,2.0,0.0
699,0.0,0.0
700,1.0,0.0
701,0.0,0.0
702,3.0,0.0
703,2.0,0.0
704,0.0,0.0
705,2.0,0.0
706,1.0,0.0
707,1.0,0.0
708,2.0,0.0
709,2.0,0.0
710,0.0,0.0
711,0.0,0.0
712,0.0,0.0
713,1.0,0.0
714,1.0,0.0
715,0.0,0.0
716,1.0,0.0
717,3.0,0.0
718,2.0,0.0
719,0.0,0.0
720,2.0,0.0
721,1.0,0.0
722,2.0,0.0
723,1.0,0.0
724,2.0,0.0
725,0.0,0.0
726,1.0,0.0
727,1.0,0.0
728,1.0,0.0
729,1.0,0.0
730,2.0,0.0
731,0.0,0.0
732,0.0,0.0
733,1.0,0.0
734,1.0,0.0
735,2.0,0.0
736,1.0,0.0
737,1.0,0.0
738,0.0,0.0
739,1.0,0.0
740,1.0,0.0
741,2.0,0.0
742,1.0,0.0
743,2.0,0.0
744,0.0,0.0
745,4.0,0.0
746,1.0,0.0
747,0.0,0.0
748,2.0,0.0
749,1.0,0.0
750,2.0,0.0
751,0.0,0.0
752,2.0,0.0
753,0.0,0.0
754,1.0,0.0
755,1.0,0.0
756,0.0,0.0
757,1.0,0.0
758,0.0,0.0
759,1.0,0.0
760,1.0,0.0
761,2.0,0.0
762,2.0,0.0
763,1.0,0.0
764,1.0,0.0
765,2.0,0.0
766,2.0,0.0
767,0.0,0.0
768,1.0,0.0
769,1.0,0.0
770,1.0,0.0
771,0.0,0.0
772,1.0,0.0
773,1.0,0.0
774,0.0,0.0
775,2.0,0.0
776,0.0,0.0
777,2.0,0.0
778,0.0,0.0
779,0.0,0.0
780,2.0,0.0
781,1.0,0.0
782,0.0,0.0
783,2.0,0.0
784,1.0,0.0
785,3.0,0.0
786,1.0,0.0
787,0.0,0.0
788,3.0,0.0
789,3.0,0.0
790,0.0,0.0
791,2.0,0.0
792,1.0,0.0
793,0.0,0.0
794,2.0,0.0
795,1.0,0.0
796,1.0,0.0
797,0.0,0.0
798,0.0,0.0
799,0.0,0.0
800,2.0,0.0
801,2.0,0.0
802,1.0,0.0
803,1.0,0.0
804,2.0,0.0
805,1.0,0.0
806,1.0,0.0
807,1.0,0.0
808,0.0,0.0
809,2.0,0.0
810,1.0,0.0
811,1.0,0.0
812,1.0,0.0
813,2.0,0.0
814,2.0,0.0
815,1.0,0.0
816,1.0,0.0
817,0.0,0.0
818,1.0,0.0
819,2.0,0.0
820,1.0,0.0
821,1.0,0.0
822,2.0,0.0
823,1.0,0.0
824,0.0,0.0
825,2.0,0.0
826,1.0,0.0
827,0.0,0.0
828,0.0,0.0
829,1.0,0.0
830,1.0,0.0
831,2.0,0.0
832,2.0,0.0
833,1.0,0.0
834,0.0,0.0
835,0.0,0.0
836,2.0,0.0
837,2.0,0.0
838,1.0,0.0
839,2.0,0.0
840,0.0,0.0
841,1.0,0.0
842,1.0,0.0
843,2.0,0.0
844,0.0,0.0
845,2.0,0.0
846,2.0,0.0
847,0.0,0.0
848,1.0,0.0
849,0.0,0.0
850,1.0,0.0
851,2.0,0.0
852,2.0,0.0
853,2.0,0.0
854,1.0,0.0
855,1.0,0.0
856,1.0,0.0
857,1.0,0.0
858,1.0,0.0
859,1.0,0.0
860,2.0,0.0
861,0.0,0.0
862,1.0,0.0
863,0.0,0.0
864,2.0,0.0
865,1.0,0.0
866,3.0,0.0
867,0.0,0.0
868,2.0,0.0
869,1.0,0.0
870,0.0,0.0
871,1.0,0.0
872,0.0,0.0
873,0.0,0.0
874,1.0,0.0
875,0.0,0.0
876,1.0,0.0
877,1.0,0.0
878,1.0,0.0
879,3.0,0.0
880,1.0,0.0
881,0.0,0.0
882,3.0,0.0
883,2.0,0.0
884,0.0,0.0
885,2.0,0.0
886,1.0,0.0
887,2.0,0.0
888,1.0,0.0
889,1.0,0.0
890,2.0,0.0
891,0.0,0.0
892,1.0,0.0
893,0.0,0.0
894,0.0,0.0
895,3.0,0.0
896,1.0,0.0
897,0.0,0.0
898,1.0,0.0
899,1.0,0.0
900,0.0,0.0
901,1.0,0.0
902,1.0,0.0
903,4.0,0.0
904,1.0,0.0
905,2.0,0.0
906,1.0,0.0
907,1.0,0.0
908,1.0,0.0
909,2.0,0.0
910,0.0,0.0
911,2.0,0.0
912,0.0,0.0
913,0.0,0.0
914,0.0,0.0
915,0.0,0.0
916,2.0,0.0
917,0.0,0.0
918,1.0,0.0
919,1.0,0.0
920,1.0,0.0
921,1.0,0.0
922,3.0,0.0
923,1.0,0.0
924,2.0,0.0
925,1.0,0.0
926,1.0,0.0
927,2.0,0.0
928,2.0,0.0
929,0.0,0.0
930,2.0,0.0
931,0.0,0.0
932,2.0,0.0
933,0.0,0.0
934,1.0,0.0
935,2.0,0.0
936,0.0,0.0
937,1.0,0.0
938,3.0,0.0
939,0.0,0.0
940,1.0,0.0
941,1.0,0.0
942,1.0,0.0
943,0.0,0.0
944,0.0,0.0
945,0.0,0.0
946,3.0,0.0
947,2.0,0.0
948,1.0,0.0
949,0.0,0.0
950,4.0,0.0
951,0.0,0.0
952,1.0,0.0
953,0.0,0.0
954,2.0,0.0
955,1.0,0.0
956,1.0,0.0
957,1.0,0.0
958,2.0,0.0
959,1.0,0.0
960,2.0,0.0
961,1.0,0.0
962,2.0,0.0
963,0.0,0.0
964,0.0,0.0
965,1.0,0.0
966,1.0,0.0
967,2.0,0.0
968,1.0,0.0
969,2.0,0.0
970,1.0,0.0
971,1.0,0.0
972,0.0,0.0
973,0.0,0.0
974,1.0,0.0
975,1.0,0.0
976,1.0,0.0
977,1.0,0.0
978,3.0,0.0
979,1.0,0.0
980,2.0,0.0
981,2.0,0.0
982,1.0,0.0
983,0.0,0.0
984,1.0,0.0
985,0.0,0.0
986,2.0,0.0
987,1.0,0.0
988,1.0,0.0
989,0.0,0.0
990,3.0,0.0
991,1.0,0.0
992,2.0,0.0
993,0.0,0.0
994,2.0,0.0
995,3.0,0.0
996,0.0,0.0
997,1.0,0.0
998,1.0,0.0
999,1.0,0.0
1000,0.0,0.0
1001,1.0,0.0
1002,1.0,0.0
1003,0.0,0.0
1004,1.0,0.0
1005,3.0,0.0
1006,1.0,0.0
1007,1.0,0.0
1008,1.0,0.0
1009,1.0,0.0
1010,1.0,0.0
1011,2.0,0.0
1012,1.0,0.0
1013,2.0,0.0
1014,2.0,0.0
1015,0.0,0.0
1016,3.0,0.0
1017,0.0,0.0
1018,0.0,0.0
1019,0.0,0.0
1020,0.0,0.0
1021,0.0,0.0
1022,3.0,0.0
1023,1.0,0.0
1024,1.0,0.0
1025,0.0,0.0
1026,3.0,0.0
1027,0.0,0.0
1028,1.0,0.0
1029,2.0,0.0
1030,0.0,0.0
1031,2.0,0.0
1032,0.0,0.0
1033,1.0,0.0
1034,3.0,0.0
1035,1.0,0.0
1036,0.0,0.0
1037,0.0,0.0
1038,1.0,0.0
1039,2.0,0.0
1040,0.0,0.0
1041,2.0,0.0
1042,2.0,0.0
1043,1.0,0.0
1044,0.0,0.0
1045,1.0,0.0
1046,1.0,0.0
1047,1.0,0.0
1048,0.0,0.0
1049,2.0,0.0
1050,1.0,0.0
1051,2.0,0.0
1052,1.0,0.0
1053,1.0,0.0
1054,1.0,0.0
1055,2.0,0.0
1056,0.0,0.0
1057,0.0,0.0
1058,3.0,0.0
1059,1.0,0.0
1060,1.0,0.0
1061,1.0,0.0
1062,2.0,0.0
1063,0.0,0.0
1064,1.0,0.0
1065,1.0,0.0
1066,3.0,0.0
1067,1.0,0.0
1068,1.0,0.0
1069,4.0,0.0
1070,0.0,0.0
1071,0.0,0.0
1072,2.0,0.0
1073,1.0,0.0
1074,0.0,0.0
1075,0.0,0.0
1076,1.0,0.0
1077,1.0,0.0
1078,2.0,0.0
1079,1.0,0.0
1080,3.0,0.0
1081,0.0,0.0
1082,1.0,0.0
1083,1.0,0.0
1084,0.0,0.0
1085,1.0,0.0
1086,1.0,0.0
1087,1.0,0.0
1088,1.0,0.0
1089,0.0,0.0
1090,2.0,0.0
1091,2.0,0.0
1092,0.0,0.0
1093,0.0,0.0
1094,2.0,0.0
1095,0.0,0.0
1096,2.0,0.0
1097,0.0,0.0
1098,0.0,0.0
1099,2.0,0.0
1100,2.0,0.0
1101,0.0,0.0
1102,1.0,0.0
1103,2.0,0.0
1104,2.0,0.0
1105,3.0,0.0
1106,1.0,0.0
1107,1.0,0.0
1108,0.0,0.0
1109,1.0,0.0
1110,0.0,0.0
1111,1.0,0.0
1112,1.0,0.0
1113,4.0,0.0
1114,1.0,0.0
1115,2.0,0.0
1116,0.0,0.0
1117,2.0,0.0
1118,1.0,0.0
1119,1.0,0.0
1120,0.0,0.0
1121,1.0,0.0
1122,1.0,0.0
1123,0.0,0.0
1124,2.0,0.0
1125,2.0,0.0
1126,1.0,0.0
1127,0.0,0.0
1128,0.0,0.0
1129,3.0,0.0
1130,2.0,0.0
1131,0.0,0.0
1132,1.0,0.0
1133,0.0,0.0
1134,1.0,0.0
1135,1.0,0.0
1136,3.0,0.0
1137,0.0,0.0
1138,1.0,0.0
1139,0.0,0.0
1140,0.0,0.0
1141,1.0,0.0
1142,0.0,0.0
1143,2.0,0.0
1144,3.0,0.0
1145,0.0,0.0
1146,2.0,0.0
1147,1.0,0.0
1148,0.0,0.0
1149,1.0,0.0
1150,0.0,0.0
1151,1.0,0.0
1152,3.0,0.0
1153,2.0,0.0
1154,2.0,0.0
1155,0.0,0.0
1156,2.0,0.0
1157,2.0,0.0
1158,1.0,0.0
1159,0.0,0.0
1160,1.0,0.0
1161,0.0,0.0
1162,1.0,0.0
1163,2.0,0.0
1164,1.0,0.0
1165,1.0,0.0
1166,0.0,0.0
1167,1.0,0.0
1168,3.0,0.0
1169,0.0,0.0
1170,2.0,0.0
1171,2.0,0.0
1172,0.0,0.0
1173,1.0,0.0
1174,3.0,0.0
1175,0.0,0.0
1176,0.0,0.0
1177,2.0,0.0
1178,1.0,0.0
1179,2.0,0.0
1180,1.0,0.0
1181,1.0,0.0
1182,1.0,0.0
1183,3.0,0.0
1184,2.0,0.0
1185,0.0,0.0
1186,2.0,0.0
1187,0.0,0.0
1188,0.0,0.0
1189,1.0,0.0
1190,1.0,0.0
1191,2.0,0.0
1192,0.0,0.0
1193,0.0,0.0
1194,0.0,0.0
1195,3.0,0.0
1196,1.0,0.0
1197,1.0,0.0
1198,2.0,0.0
1199,1.0,0.0
1200,0.0,0.0
1201,0.0,0.0
1202,1.0,0.0
1203,1.0,0.0
1204,3.0,0.0
1205,0.0,0.0
1206,2.0,0.0
1207,0.0,0.0
1208,1.0,0.0
1209,0.0,0.0
1210,1.0,0.0
1211,1.0,0.0
1212,1.0,0.0
1213,1.0,0.0
1214,3.0,0.0
1215,2.0,0.0
1216,0.0,0.0
1217,2.0,0.0
1218,0.0,0.0
1219,0.0,0.0
1220,0.0,0.0
1221,1.0,0.0
1222,1.0,0.0
1223,0.0,0.0
1224,3.0,0.0
1225,2.0,0.0
1226,2.0,0.0
1227,1.0,0.0
1228,2.0,0.0
1229,0.0,0.0
1230,3.0,0.0
1231,1.0,0.0
1232,0.0,0.0
1233,0.0,0.0
1234,3.0,0.0
1235,2.0,0.0
1236,1.0,0.0
1237,0.0,0.0
1238,0.0,0.0
1239,0.0,0.0
1240,1.0,0.0
1241,2.0,0.0
1242,3.0,0.0
1243,1.0,0.0
1244,1.0,0.0
1245,0.0,0.0
1246,1.0,0.0
1247,1.0,0.0
1248,2.0,0.0
1249,0.0,0.0
1250,1.0,0.0
1251,4.0,0.0
1252,1.0,0.0
1253,0.0,0.0
1254,1.0,0.0
1255,2.0,0.0
1256,1.0,0.0
1257,1.0,0.0
1258,0.0,0.0
1259,0.0,0.0
1260,2.0,0.0
1261,1.0,0.0
1262,0.0,0.0
1263,3.0,0.0
1264,1.0,0.0
1265,0.0,0.0
1266,1.0,0.0
1267,1.0,0.0
1268,0.0,0.0
1269,2.0,0.0
1270,2.0,0.0
1271,0.0,0.0
1272,2.0,0.0
1273,0.0,0.0
1274,0.0,0.0
1275,1.0,0.0
1276,2.0,0.0
1277,1.0,0.0
1278,1.0,0.0
1279,3.0,0.0
1280,0.0,0.0
1281,2.0,0.0
1282,0.0,0.0
1283,2.0,0.0
1284,1.0,0.0
1285,0.0,0.0
1286,1.0,0.0
1287,2.0,0.0
1288,0.0,0.0
1289,2.0,0.0
1290,0.0,0.0
1291,0.0,0.0
1292,3.0,0.0
1293,1.0,0.0
1294,2.0,0.0
1295,0.0,0.0
1296,0.0,0.0
1297,0.0,0.0
1298,1.0,0.0
1299,1.0,0.0
1300,2.0,0.0
1301,2.0,0.0
1302,2.0,0.0
1303,1.0,0.0
1304,2.0,0.0
1305,2.0,0.0
1306,1.0,0.0
1307,0.0,0.0
1308,3.0,0.0
1309,2.0,0.0
1310,1.0,0.0
1311,1.0,0.0
1312,0.0,0.0
1313,1.0,0.0
1314,2.0,0.0
1315,0.0,0.0
1316,1.0,0.0
1317,1.0,0.0
1318,0.0,0.0
1319,2.0,0.0
1320,0.0,0.0
1321,1.0,0.0
1322,0.0,0.0
1323,1.0,0.0
1324,1.0,0.0
1325,0.0,0.0
1326,1.0,0.0
1327,2.0,0.0
1328,1.0,0.0
1329,0.0,0.0
1330,2.0,0.0
1331,3.0,0.0
1332,0.0,0.0
1333,1.0,0.0
1334,1.0,0.0
1335,2.0,0.0
1336,1.0,0.0
1337,0.0,0.0
1338,0.0,0.0
1339,2.0,0.0
1340,2.0,0.0
1341,1.0,0.0
1342,2.0,0.0
1343,3.0,0.0
1344,0.0,0.0
1345,1.0,0.0
1346,2.0,0.0
1347,1.0,0.0
1348,1.0,0.0
1349,1.0,0.0
1350,1.0,0.0
1351,1.0,0.0
1352,0.0,0.0
1353,1.0,0.0
1354,2.0,0.0
1355,2.0,0.0
1356,1.0,0.0
1357,0.0,0.0
1358,1.0,0.0
1359,0.0,0.0
1360,2.0,0.0
