N_vals,throughput,stationary
1,2.0,0.0
2,3.0,0.0
3,3.0,0.0
4,2.0,0.0
5,3.0,0.0
6,3.0,0.0
7,3.0,0.0
8,2.0,0.0
9,3.0,0.0
10,2.0,0.0
11,4.0,0.0
12,3.0,0.0
13,2.0,0.0
14,3.0,0.0
15,3.0,0.0
16,3.0,0.0
17,2.0,0.0
18,3.0,0.0
19,3.0,0.0
20,1.0,0.0
21,4.0,0.0
22,3.0,0.0
23,3.0,0.0
24,1.0,0.0
25,4.0,0.0
26,2.0,0.0
27,4.0,0.0
28,2.0,0.0
29,2.0,0.0
30,4.0,0.0
31,2.0,0.0
32,4.0,0.0
33,2.0,0.0
34,3.0,0.0
35,2.0,0.0
36,1.0,0.0
37,6.0,0.0
38,2.0,0.0
39,2.0,0.0
40,4.0,0.0
41,1.0,0.0
42,4.0,0.0
43,3.0,0.0
44,2.0,0.0
45,3.0,0.0
46,3.0,0.0
47,1.0,0.0
48,4.0,0.0
49,3.0,0.0
50,1.0,0.0
51,5.0,0.0
52,0.0,0.0
53,4.0,0.0
54,3.0,0.0
55,1.0,0.0
56,4.0,0.0
57,4.0,0.0
58,1.0,0.0
59,3.0,0.0
60,3.0,0.0
61,2.0,0.0
62,2.0,0.0
63,3.0,0.0
64,3.0,0.0
65,2.0,0.0
66,5.0,0.0
67,3.0,0.0
68,3.0,0.0
69,1.0,0.0
70,3.0,0.0
71,3.0,0.0
72,3.0,0.0
73,3.0,0.0
74,3.0,0.0
75,3.0,0.0
76,2.0,0.0
77,4.0,0.0
78,1.0,0.0
79,3.0,0.0
80,3.0,0.0
81,3.0,0.0
82,3.0,0.0
83,2.0,0.0
84,3.0,0.0
85,3.0,0.0
86,2.0,0.0
87,1.0,0.0
88,5.0,0.0
89,3.0,0.0
90,3.0,0.0
91,3.0,0.0
92,2.0,0.0
93,3.0,0.0
94,1.0,0.0
95,2.0,0.0
96,5.0,0.0
97,3.0,0.0
98,3.0,0.0
99,3.0,0.0
100,1.0,0.0
101,3.0,0.0
102,4.0,0.0
103,2.0,0.0
104,3.0,0.0
105,3.0,0.0
106,3.0,0.0
107,2.0,0.0
108,2.0,0.0
109,5.0,0.0
110,2.0,0.0
111,2.0,0.0
112,2.0,0.0
113,4.0,0.0
114,1.0,0.0
115,2.0,0.0
116,5.0,0.0
117,3.0,0.0
118,3.0,0.0
119,2.0,0.0
120,2.0,0.0
121,3.0,0.0
122,3.0,0.0
123,1.0,0.0
124,2.0,0.0
125,3.0,0.0
126,4.0,0.0
127,1.0,0.0
128,4.0,0.0
129,3.0,0.0
130,1.0,0.0
131,4.0,0.0
132,3.0,0.0
133,2.0,0.0
134,5.0,0.0
135,2.0,0.0
136,1.0,0.0
137,3.0,0.0
138,2.0,0.0
139,6.0,0.0
140,2.0,0.0
141,2.0,0.0
142,4.0,0.0
143,3.0,0.0
144,2.0,0.0
145,4.0,0.0
146,2.0,0.0
147,2.0,0.0
148,2.0,0.0
149,3.0,0.0
150,4.0,0.0
151,4.0,0.0
152,0.0,0.0
153,1.0,0.0
154,5.0,0.0
155,3.0,0.0
156,3.0,0.0
157,3.0,0.0
158,3.0,0.0
159,1.0,0.0
160,5.0,0.0
161,1.0,0.0
162,3.0,0.0
163,3.0,0.0
164,3.0,0.0
