N_vals,throughput,stationary
1,2.0,0.0
2,3.0,0.0
3,2.0,0.0
4,3.0,0.0
5,2.0,0.0
6,2.0,0.0
7,2.0,0.0
8,3.0,0.0
9,2.0,0.0
10,3.0,0.0
11,1.0,0.0
12,3.0,0.0
13,2.0,0.0
14,2.0,0.0
15,2.0,0.0
16,3.0,0.0
17,2.0,0.0
18,1.0,0.0
19,3.0,0.0
20,3.0,0.0
21,3.0,0.0
22,2.0,0.0
23,2.0,0.0
24,3.0,0.0
25,1.0,0.0
26,3.0,0.0
27,2.0,0.0
28,3.0,0.0
29,1.0,0.0
30,3.0,0.0
31,1.0,0.0
32,3.0,0.0
33,3.0,0.0
34,1.0,0.0
35,3.0,0.0
36,2.0,0.0
37,2.0,0.0
38,3.0,0.0
39,2.0,0.0
40,3.0,0.0
41,3.0,0.0
42,1.0,0.0
43,3.0,0.0
44,1.0,0.0
45,4.0,0.0
46,0.0,0.0
47,4.0,0.0
48,2.0,0.0
49,1.0,0.0
50,4.0,0.0
51,2.0,0.0
52,2.0,0.0
53,2.0,0.0
54,3.0,0.0
55,1.0,0.0
56,4.0,0.0
57,1.0,0.0
58,3.0,0.0
59,1.0,0.0
60,4.0,0.0
61,1.0,0.0
62,2.0,0.0
63,3.0,0.0
64,2.0,0.0
65,4.0,0.0
66,2.0,0.0
67,0.0,0.0
68,2.0,0.0
69,4.0,0.0
70,4.0,0.0
71,1.0,0.0
72,2.0,0.0
73,2.0,0.0
74,1.0,0.0
75,3.0,0.0
76,3.0,0.0
77,2.0,0.0
78,2.0,0.0
79,3.0,0.0
80,3.0,0.0
81,1.0,0.0
82,2.0,0.0
83,3.0,0.0
84,2.0,0.0
85,3.0,0.0
86,0.0,0.0
87,3.0,0.0
88,3.0,0.0
89,2.0,0.0
90,2.0,0.0
91,4.0,0.0
92,0.0,0.0
93,4.0,0.0
94,3.0,0.0
95,1.0,0.0
96,2.0,0.0
97,2.0,0.0
98,4.0,0.0
99,1.0,0.0
100,1.0,0.0
101,3.0,0.0
102,2.0,0.0
103,3.0,0.0
104,3.0,0.0
105,2.0,0.0
106,1.0,0.0
107,4.0,0.0
108,2.0,0.0
109,3.0,0.0
110,0.0,0.0
111,3.0,0.0
112,3.0,0.0
113,1.0,0.0
114,4.0,0.0
115,2.0,0.0
116,2.0,0.0
117,2.0,0.0
118,1.0,0.0
119,3.0,0.0
120,3.0,0.0
121,2.0,0.0
122,1.0,0.0
123,3.0,0.0
124,2.0,0.0
125,3.0,0.0
126,2.0,0.0
127,3.0,0.0
128,1.0,0.0
129,3.0,0.0
130,3.0,0.0
131,3.0,0.0
132,1.0,0.0
133,3.0,0.0
134,1.0,0.0
135,3.0,0.0
136,3.0,0.0
137,1.0,0.0
138,2.0,0.0
139,4.0,0.0
140,2.0,0.0
141,1.0,0.0
142,3.0,0.0
143,4.0,0.0
144,1.0,0.0
145,2.0,0.0
146,1.0,0.0
147,3.0,0.0
148,3.0,0.0
149,1.0,0.0
150,3.0,0.0
151,3.0,0.0
152,2.0,0.0
153,2.0,0.0
154,1.0,0.0
155,3.0,0.0
156,3.0,0.0
157,3.0,0.0
158,0.0,0.0
159,3.0,0.0
160,4.0,0.0
161,2.0,0.0
162,2.0,0.0
163,2.0,0.0
164,1.0,0.0
