cells_per_vehicle,mean_throughput,mean_stationary,rms_throughput,rms_stationary
2,2.78615,451.78636,0.004347409662629111,0.19088986711955414
3,2.51682,0.50145,0.003781813572497537,0.00406921915856517
4,1.90447,0.02711,0.003611117637617553,0.0006961000822819348
5,1.52806,0.0053,0.0034251487092447994,0.00028340766256211434
6,1.27611,0.00152,0.0032385548569336333,0.00014483475332623512
7,1.09417,0.00052,0.0030779725226450358,7.744259792616318e-05
8,0.95787,0.00019,0.0029110196446197165,4.358506621054499e-05
9,0.85174,0.00015,0.0027680437757841682,4.358662636569736e-05
