N_vals,throughput,stationary
1,2.0,0.0
2,2.0,0.0
3,1.0,0.0
4,2.0,0.0
5,2.0,0.0
6,3.0,0.0
7,1.0,0.0
8,3.0,0.0
9,1.0,0.0
10,2.0,0.0
11,2.0,0.0
12,3.0,0.0
13,1.0,0.0
14,2.0,0.0
15,2.0,0.0
16,2.0,0.0
17,2.0,0.0
18,2.0,0.0
19,2.0,0.0
20,2.0,0.0
21,2.0,0.0
22,2.0,0.0
23,2.0,0.0
24,2.0,0.0
25,1.0,0.0
26,2.0,0.0
27,3.0,0.0
28,2.0,0.0
29,1.0,0.0
30,3.0,0.0
31,2.0,0.0
32,2.0,0.0
33,2.0,0.0
34,1.0,0.0
35,3.0,0.0
36,2.0,0.0
37,2.0,0.0
38,1.0,0.0
39,2.0,0.0
40,3.0,0.0
41,1.0,0.0
42,2.0,0.0
43,2.0,0.0
44,2.0,0.0
45,3.0,0.0
46,1.0,0.0
47,2.0,0.0
48,1.0,0.0
49,4.0,0.0
50,1.0,0.0
51,1.0,0.0
52,2.0,0.0
53,3.0,0.0
54,3.0,0.0
55,1.0,0.0
56,1.0,0.0
57,2.0,0.0
58,2.0,0.0
59,3.0,0.0
60,2.0,0.0
61,2.0,0.0
62,2.0,0.0
63,1.0,0.0
64,2.0,0.0
65,3.0,0.0
66,2.0,0.0
67,1.0,0.0
68,2.0,0.0
69,2.0,0.0
70,2.0,0.0
71,2.0,0.0
72,1.0,0.0
73,3.0,0.0
74,2.0,0.0
75,2.0,0.0
76,1.0,0.0
77,4.0,0.0
78,0.0,0.0
79,3.0,0.0
80,2.0,0.0
81,1.0,0.0
82,2.0,0.0
83,3.0,0.0
84,0.0,0.0
85,4.0,0.0
86,2.0,0.0
87,2.0,0.0
88,0.0,0.0
89,4.0,0.0
90,2.0,0.0
91,1.0,0.0
92,3.0,0.0
93,2.0,0.0
94,2.0,0.0
95,2.0,0.0
96,2.0,0.0
97,1.0,0.0
98,2.0,0.0
99,3.0,0.0
100,1.0,0.0
101,2.0,0.0
102,1.0,0.0
103,3.0,0.0
104,3.0,0.0
105,2.0,0.0
106,2.0,0.0
107,1.0,0.0
108,1.0,0.0
109,3.0,0.0
110,1.0,0.0
111,3.0,0.0
112,1.0,0.0
113,2.0,0.0
114,2.0,0.0
115,0.0,0.0
116,5.0,0.0
117,2.0,0.0
118,1.0,0.0
119,2.0,0.0
120,2.0,0.0
121,1.0,0.0
122,3.0,0.0
123,3.0,0.0
124,1.0,0.0
125,2.0,0.0
126,2.0,0.0
127,1.0,0.0
128,3.0,0.0
129,2.0,0.0
130,2.0,0.0
131,2.0,0.0
132,4.0,0.0
133,0.0,0.0
134,1.0,0.0
135,3.0,0.0
136,2.0,0.0
137,1.0,0.0
138,3.0,0.0
139,2.0,0.0
140,1.0,0.0
141,3.0,0.0
142,1.0,0.0
143,3.0,0.0
144,1.0,0.0
145,4.0,0.0
146,0.0,0.0
147,2.0,0.0
148,1.0,0.0
149,3.0,0.0
150,2.0,0.0
151,3.0,0.0
152,0.0,0.0
153,3.0,0.0
154,2.0,0.0
155,2.0,0.0
156,3.0,0.0
157,2.0,0.0
158,1.0,0.0
159,1.0,0.0
160,3.0,0.0
161,3.0,0.0
162,2.0,0.0
163,0.0,0.0
164,1.0,0.0
165,2.0,0.0
166,4.0,0.0
167,2.0,0.0
168,3.0,0.0
169,1.0,0.0
170,2.0,0.0
171,1.0,0.0
172,2.0,0.0
173,2.0,0.0
174,3.0,0.0
175,1.0,0.0
176,3.0,0.0
177,1.0,0.0
178,2.0,0.0
179,1.0,0.0
180,2.0,0.0
181,1.0,0.0
182,4.0,0.0
183,2.0,0.0
184,2.0,0.0
185,2.0,0.0
186,4.0,0.0
187,1.0,0.0
188,1.0,0.0
189,2.0,0.0
190,2.0,0.0
191,1.0,0.0
192,3.0,0.0
193,1.0,0.0
194,2.0,0.0
195,2.0,0.0
196,2.0,0.0
197,1.0,0.0
198,4.0,0.0
199,1.0,0.0
200,3.0,0.0
201,2.0,0.0
202,2.0,0.0
203,2.0,0.0
204,2.0,0.0
205,1.0,0.0
206,2.0,0.0
207,2.0,0.0
208,1.0,0.0
209,4.0,0.0
210,1.0,0.0
211,3.0,0.0
212,1.0,0.0
213,1.0,0.0
214,0.0,0.0
215,5.0,0.0
216,2.0,0.0
217,2.0,0.0
218,2.0,0.0
219,2.0,0.0
220,2.0,0.0
221,2.0,0.0
222,2.0,0.0
223,1.0,0.0
224,3.0,0.0
225,3.0,0.0
226,0.0,0.0
227,1.0,0.0
228,3.0,0.0
229,2.0,0.0
230,1.0,0.0
231,4.0,0.0
232,1.0,0.0
233,1.0,0.0
234,4.0,0.0
235,1.0,0.0
236,3.0,0.0
237,0.0,0.0
238,2.0,0.0
239,3.0,0.0
240,1.0,0.0
241,3.0,0.0
242,3.0,0.0
243,2.0,0.0
244,1.0,0.0
245,0.0,0.0
246,4.0,0.0
247,1.0,0.0
248,3.0,0.0
249,2.0,0.0
250,2.0,0.0
251,1.0,0.0
252,2.0,0.0
253,3.0,0.0
254,2.0,0.0
255,1.0,0.0
256,2.0,0.0
257,3.0,0.0
258,3.0,0.0
259,1.0,0.0
260,1.0,0.0
261,1.0,0.0
262,4.0,0.0
263,3.0,0.0
264,1.0,0.0
265,2.0,0.0
266,2.0,0.0
267,0.0,0.0
268,1.0,0.0
269,4.0,0.0
270,2.0,0.0
271,2.0,0.0
272,3.0,0.0
273,1.0,0.0
274,2.0,0.0
275,1.0,0.0
276,3.0,0.0
277,2.0,0.0
278,2.0,0.0
279,2.0,0.0
280,2.0,0.0
281,4.0,0.0
282,0.0,0.0
283,2.0,0.0
284,1.0,0.0
285,4.0,0.0
286,2.0,0.0
287,1.0,0.0
288,3.0,0.0
289,0.0,0.0
290,2.0,0.0
291,3.0,0.0
292,0.0,0.0
293,4.0,0.0
294,1.0,0.0
295,2.0,0.0
296,2.0,0.0
297,2.0,0.0
298,1.0,0.0
299,3.0,0.0
