cells_per_vehicle,mean_throughput,mean_stationary,rms_throughput,rms_stationary
2,2.53135,109.18662,0.003482943164040196,0.09261788223922306
3,1.86041,1.59878,0.003368524868336161,0.005580478163503284
4,1.40751,0.28625,0.0032065181765550633,0.0020203341784208327
5,1.12945,0.09886,0.00301622577921267,0.001129194294530175
6,0.94311,0.04132,0.0028256353482255755,0.000703655830158841
7,0.80888,0.01994,0.002665370986938671,0.0004747907099575192
8,0.70813,0.01013,0.0025223565675421443,0.00033207669859436904
9,0.62965,0.00644,0.0023959896040394303,0.0002595880156315277
