N_vals,throughput,stationary
1,2.0,0.0
2,2.0,0.0
3,2.0,0.0
4,2.0,0.0
5,3.0,0.0
6,2.0,0.0
7,2.0,0.0
8,2.0,0.0
9,3.0,0.0
10,2.0,0.0
11,2.0,0.0
12,2.0,0.0
13,2.0,0.0
14,2.0,0.0
15,3.0,0.0
16,2.0,0.0
17,3.0,0.0
18,0.0,0.0
19,4.0,0.0
20,2.0,0.0
21,2.0,0.0
22,2.0,0.0
23,2.0,0.0
24,2.0,0.0
25,2.0,0.0
26,3.0,0.0
27,2.0,0.0
28,2.0,0.0
29,3.0,0.0
30,1.0,0.0
31,3.0,0.0
32,3.0,0.0
33,2.0,0.0
34,1.0,0.0
35,3.0,0.0
36,3.0,0.0
37,2.0,0.0
38,1.0,0.0
39,2.0,0.0
40,2.0,0.0
41,4.0,0.0
42,2.0,0.0
43,2.0,0.0
44,1.0,0.0
45,3.0,0.0
46,1.0,0.0
47,4.0,0.0
48,1.0,0.0
49,3.0,0.0
50,2.0,0.0
51,2.0,0.0
52,2.0,0.0
53,2.0,0.0
54,3.0,0.0
55,2.0,0.0
56,2.0,0.0
57,3.0,0.0
58,1.0,0.0
59,2.0,0.0
60,3.0,0.0
61,3.0,0.0
62,1.0,0.0
63,3.0,0.0
64,2.0,0.0
65,2.0,0.0
66,3.0,0.0
67,2.0,0.0
68,2.0,0.0
69,2.0,0.0
70,2.0,0.0
71,2.0,0.0
72,3.0,0.0
73,2.0,0.0
74,2.0,0.0
75,2.0,0.0
76,3.0,0.0
77,1.0,0.0
78,3.0,0.0
79,3.0,0.0
80,2.0,0.0
81,1.0,0.0
82,3.0,0.0
83,2.0,0.0
84,2.0,0.0
85,2.0,0.0
86,3.0,0.0
87,1.0,0.0
88,2.0,0.0
89,2.0,0.0
90,4.0,0.0
91,2.0,0.0
92,1.0,0.0
93,3.0,0.0
94,2.0,0.0
95,2.0,0.0
96,3.0,0.0
97,2.0,0.0
98,3.0,0.0
99,2.0,0.0
100,3.0,0.0
101,1.0,0.0
102,2.0,0.0
103,2.0,0.0
104,3.0,0.0
105,1.0,0.0
106,3.0,0.0
107,3.0,0.0
108,2.0,0.0
109,1.0,0.0
110,4.0,0.0
111,1.0,0.0
112,2.0,0.0
113,2.0,0.0
114,2.0,0.0
115,2.0,0.0
116,3.0,0.0
117,2.0,0.0
118,2.0,0.0
119,1.0,0.0
120,4.0,0.0
121,2.0,0.0
122,2.0,0.0
123,2.0,0.0
124,3.0,0.0
125,2.0,0.0
126,1.0,0.0
127,3.0,0.0
128,1.0,0.0
129,3.0,0.0
130,4.0,0.0
131,2.0,0.0
132,2.0,0.0
133,1.0,0.0
134,2.0,0.0
135,4.0,0.0
136,3.0,0.0
137,0.0,0.0
138,1.0,0.0
139,3.0,0.0
140,2.0,0.0
141,2.0,0.0
142,3.0,0.0
143,2.0,0.0
144,3.0,0.0
145,2.0,0.0
146,2.0,0.0
147,3.0,0.0
148,2.0,0.0
149,2.0,0.0
150,1.0,0.0
151,4.0,0.0
152,1.0,0.0
153,3.0,0.0
154,1.0,0.0
155,2.0,0.0
156,4.0,0.0
157,2.0,0.0
158,2.0,0.0
159,1.0,0.0
160,4.0,0.0
161,1.0,0.0
162,3.0,0.0
163,3.0,0.0
164,1.0,0.0
165,2.0,0.0
166,3.0,0.0
167,0.0,0.0
168,4.0,0.0
169,3.0,0.0
170,0.0,0.0
171,5.0,0.0
172,0.0,0.0
173,4.0,0.0
174,2.0,0.0
175,2.0,0.0
176,2.0,0.0
177,1.0,0.0
178,3.0,0.0
179,1.0,0.0
180,2.0,0.0
181,1.0,0.0
182,5.0,0.0
183,0.0,0.0
184,3.0,0.0
185,3.0,0.0
186,2.0,0.0
187,2.0,0.0
188,3.0,0.0
189,3.0,0.0
190,1.0,0.0
191,2.0,0.0
192,3.0,0.0
193,3.0,0.0
194,1.0,0.0
195,0.0,0.0
196,3.0,0.0
197,3.0,0.0
198,3.0,0.0
199,3.0,0.0
200,1.0,0.0
201,3.0,0.0
202,1.0,0.0
203,4.0,0.0
204,1.0,0.0
205,2.0,0.0
206,3.0,0.0
207,3.0,0.0
208,1.0,0.0
209,3.0,0.0
210,1.0,0.0
211,4.0,0.0
212,1.0,0.0
213,3.0,0.0
214,2.0,0.0
215,2.0,0.0
216,2.0,0.0
217,3.0,0.0
218,2.0,0.0
219,1.0,0.0
220,2.0,0.0
221,3.0,0.0
222,2.0,0.0
223,3.0,0.0
224,1.0,0.0
225,3.0,0.0
226,1.0,0.0
227,2.0,0.0
228,3.0,0.0
229,1.0,0.0
230,4.0,0.0
231,2.0,0.0
232,2.0,0.0
233,3.0,0.0
234,1.0,0.0
235,2.0,0.0
236,4.0,0.0
237,3.0,0.0
238,1.0,0.0
239,1.0,0.0
240,2.0,0.0
241,2.0,0.0
242,3.0,0.0
243,2.0,0.0
244,2.0,0.0
245,3.0,0.0
246,1.0,0.0
247,2.0,0.0
248,2.0,0.0
249,3.0,0.0
250,3.0,0.0
251,1.0,0.0
252,1.0,0.0
253,5.0,0.0
254,1.0,0.0
255,1.0,0.0
256,3.0,0.0
257,2.0,0.0
258,4.0,0.0
259,2.0,0.0
260,4.0,0.0
261,0.0,0.0
262,1.0,0.0
263,2.0,0.0
264,4.0,0.0
265,3.0,0.0
266,2.0,0.0
267,2.0,0.0
268,3.0,0.0
269,2.0,0.0
270,1.0,0.0
271,2.0,0.0
272,3.0,0.0
273,1.0,0.0
274,2.0,0.0
275,4.0,0.0
276,1.0,0.0
277,1.0,0.0
278,3.0,0.0
279,3.0,0.0
280,2.0,0.0
281,2.0,0.0
282,2.0,0.0
283,1.0,0.0
284,5.0,0.0
285,1.0,0.0
286,2.0,0.0
287,2.0,0.0
288,2.0,0.0
289,2.0,0.0
290,3.0,0.0
291,1.0,0.0
292,4.0,0.0
293,2.0,0.0
294,2.0,0.0
295,3.0,0.0
296,3.0,0.0
297,1.0,0.0
298,2.0,0.0
299,1.0,0.0
