N_vals,throughput,stationary
1,2.0,0.0
2,3.0,0.0
3,2.0,0.0
4,3.0,0.0
5,2.0,0.0
6,3.0,0.0
7,2.0,0.0
8,2.0,0.0
9,3.0,0.0
10,3.0,0.0
11,3.0,0.0
12,2.0,0.0
13,3.0,0.0
14,2.0,0.0
15,3.0,0.0
16,2.0,0.0
17,2.0,0.0
18,3.0,0.0
19,3.0,0.0
20,2.0,0.0
21,3.0,0.0
22,3.0,0.0
23,2.0,0.0
24,2.0,0.0
25,3.0,0.0
26,3.0,0.0
27,2.0,0.0
28,3.0,0.0
29,2.0,0.0
30,2.0,0.0
31,3.0,0.0
32,2.0,0.0
33,3.0,0.0
34,3.0,0.0
35,3.0,0.0
36,2.0,0.0
37,2.0,0.0
38,2.0,0.0
39,3.0,0.0
40,3.0,0.0
41,2.0,0.0
42,2.0,0.0
43,4.0,0.0
44,2.0,0.0
45,3.0,0.0
46,2.0,0.0
47,3.0,0.0
48,2.0,0.0
49,2.0,0.0
50,3.0,0.0
51,3.0,0.0
52,2.0,0.0
53,3.0,0.0
54,3.0,0.0
55,1.0,0.0
56,3.0,0.0
57,3.0,0.0
58,3.0,0.0
59,2.0,0.0
60,2.0,0.0
61,3.0,0.0
62,3.0,0.0
63,3.0,0.0
64,2.0,0.0
65,2.0,0.0
66,3.0,0.0
67,1.0,0.0
68,4.0,0.0
69,1.0,0.0
70,4.0,0.0
71,2.0,0.0
72,3.0,0.0
73,1.0,0.0
74,4.0,0.0
75,3.0,0.0
76,1.0,0.0
77,2.0,0.0
78,3.0,0.0
79,3.0,0.0
80,3.0,0.0
81,3.0,0.0
82,2.0,0.0
83,2.0,0.0
84,3.0,0.0
85,2.0,0.0
86,3.0,0.0
87,1.0,0.0
88,4.0,0.0
89,2.0,0.0
90,3.0,0.0
91,2.0,0.0
92,4.0,0.0
93,2.0,0.0
94,2.0,0.0
95,3.0,0.0
96,2.0,0.0
97,2.0,0.0
98,2.0,0.0
99,3.0,0.0
100,3.0,0.0
101,2.0,0.0
102,4.0,0.0
103,1.0,0.0
104,2.0,0.0
105,4.0,0.0
106,3.0,0.0
107,2.0,0.0
108,3.0,0.0
109,3.0,0.0
110,0.0,0.0
111,5.0,0.0
112,1.0,0.0
113,2.0,0.0
114,3.0,0.0
115,3.0,0.0
116,2.0,0.0
117,3.0,0.0
118,1.0,0.0
119,4.0,0.0
120,2.0,0.0
121,2.0,0.0
122,3.0,0.0
123,3.0,0.0
124,3.0,0.0
125,3.0,0.0
126,2.0,0.0
127,3.0,0.0
128,0.0,0.0
129,4.0,0.0
130,3.0,0.0
131,3.0,0.0
132,1.0,0.0
133,4.0,0.0
134,3.0,0.0
135,3.0,0.0
136,2.0,0.0
137,3.0,0.0
138,1.0,0.0
139,2.0,0.0
140,3.0,0.0
141,5.0,0.0
142,1.0,0.0
143,0.0,0.0
144,4.0,0.0
145,2.0,0.0
146,3.0,0.0
147,3.0,0.0
148,2.0,0.0
149,2.0,0.0
150,3.0,0.0
151,3.0,0.0
152,2.0,0.0
153,3.0,0.0
154,3.0,0.0
155,3.0,0.0
156,1.0,0.0
157,3.0,0.0
158,3.0,0.0
159,3.0,0.0
160,2.0,0.0
161,3.0,0.0
162,2.0,0.0
163,2.0,0.0
164,3.0,0.0
