cells_per_vehicle,mean_throughput,mean_stationary,rms_throughput,rms_stationary
2,2.75341,928.11131,0.005493026074244341,0.24338814058766112
3,3.47029,105.91789,0.004841343568171311,0.12895930437351694
4,2.90365,0.00117,0.004309576835317732,0.00018462570749099713
5,2.32814,4e-05,0.004136715185763561,2.4494693300797827e-05
6,1.94324,1e-05,0.0039209101952699865,1.0000000000006489e-05
7,1.66601,0.0,0.0037126196458072977,0.0
8,1.45805,0.0,0.003545211934465045,0.0
9,1.29654,0.0,0.0033837486286009575,0.0
