N_vals,throughput,stationary
1,2.0,0.0
2,2.0,0.0
3,2.0,0.0
4,3.0,0.0
5,2.0,0.0
6,2.0,0.0
7,3.0,0.0
8,2.0,0.0
9,3.0,0.0
10,2.0,0.0
11,3.0,0.0
12,2.0,0.0
13,1.0,0.0
14,3.0,0.0
15,2.0,0.0
16,3.0,0.0
17,2.0,0.0
18,2.0,0.0
19,3.0,0.0
20,2.0,0.0
21,2.0,0.0
22,3.0,0.0
23,2.0,0.0
24,3.0,0.0
25,3.0,0.0
26,0.0,0.0
27,4.0,0.0
28,2.0,0.0
29,2.0,0.0
30,2.0,0.0
31,4.0,0.0
32,2.0,0.0
33,1.0,0.0
34,4.0,0.0
35,2.0,0.0
36,3.0,0.0
37,1.0,0.0
38,3.0,0.0
39,1.0,0.0
40,1.0,0.0
41,4.0,0.0
42,2.0,0.0
43,2.0,0.0
44,3.0,0.0
45,2.0,0.0
46,2.0,0.0
47,4.0,0.0
48,2.0,0.0
49,1.0,0.0
50,3.0,0.0
51,2.0,0.0
52,3.0,0.0
53,2.0,0.0
54,4.0,0.0
55,2.0,0.0
56,0.0,0.0
57,4.0,0.0
58,1.0,0.0
59,4.0,0.0
60,2.0,0.0
61,2.0,0.0
62,4.0,0.0
63,1.0,0.0
64,2.0,0.0
65,3.0,0.0
66,1.0,0.0
67,2.0,0.0
68,3.0,0.0
69,3.0,0.0
70,2.0,0.0
71,2.0,0.0
72,2.0,0.0
73,2.0,0.0
74,3.0,0.0
75,3.0,0.0
76,1.0,0.0
77,4.0,0.0
78,1.0,0.0
79,3.0,0.0
80,2.0,0.0
81,3.0,0.0
82,3.0,0.0
83,1.0,0.0
84,1.0,0.0
85,4.0,0.0
86,3.0,0.0
87,1.0,0.0
88,4.0,0.0
89,0.0,0.0
90,3.0,0.0
91,3.0,0.0
92,1.0,0.0
93,2.0,0.0
94,4.0,0.0
95,1.0,0.0
96,3.0,0.0
97,2.0,0.0
98,3.0,0.0
99,2.0,0.0
100,1.0,0.0
101,4.0,0.0
102,3.0,0.0
103,2.0,0.0
104,2.0,0.0
105,3.0,0.0
106,3.0,0.0
107,1.0,0.0
108,2.0,0.0
109,3.0,0.0
110,3.0,0.0
111,2.0,0.0
112,2.0,0.0
113,2.0,0.0
114,3.0,0.0
115,1.0,0.0
116,2.0,0.0
117,3.0,0.0
118,2.0,0.0
119,4.0,0.0
120,1.0,0.0
121,3.0,0.0
122,3.0,0.0
123,0.0,0.0
124,4.0,0.0
125,2.0,0.0
126,4.0,0.0
127,2.0,0.0
128,1.0,0.0
129,3.0,0.0
130,2.0,0.0
131,5.0,0.0
132,1.0,0.0
133,3.0,0.0
134,2.0,0.0
135,2.0,0.0
136,1.0,0.0
137,2.0,0.0
138,1.0,0.0
139,4.0,0.0
140,0.0,0.0
141,3.0,0.0
142,1.0,0.0
143,2.0,0.0
144,5.0,0.0
145,3.0,0.0
146,1.0,0.0
147,3.0,0.0
148,1.0,0.0
149,4.0,0.0
150,2.0,0.0
151,3.0,0.0
152,2.0,0.0
153,2.0,0.0
154,1.0,0.0
155,5.0,0.0
156,2.0,0.0
157,1.0,0.0
158,3.0,0.0
159,3.0,0.0
160,1.0,0.0
161,2.0,0.0
162,1.0,0.0
163,3.0,0.0
164,5.0,0.0
165,1.0,0.0
166,1.0,0.0
167,2.0,0.0
168,3.0,0.0
169,1.0,0.0
170,3.0,0.0
171,4.0,0.0
172,2.0,0.0
173,2.0,0.0
174,2.0,0.0
175,5.0,0.0
176,2.0,0.0
177,0.0,0.0
178,3.0,0.0
179,3.0,0.0
180,3.0,0.0
181,1.0,0.0
182,3.0,0.0
183,3.0,0.0
184,1.0,0.0
185,5.0,0.0
186,1.0,0.0
187,2.0,0.0
188,2.0,0.0
189,4.0,0.0
190,1.0,0.0
191,1.0,0.0
192,4.0,0.0
193,1.0,0.0
194,5.0,0.0
195,2.0,0.0
196,0.0,0.0
197,5.0,0.0
198,2.0,0.0
199,2.0,0.0
200,1.0,0.0
201,3.0,0.0
202,1.0,0.0
203,4.0,0.0
204,2.0,0.0
205,3.0,0.0
206,0.0,0.0
207,2.0,0.0
208,4.0,0.0
209,2.0,0.0
210,1.0,0.0
211,3.0,0.0
212,4.0,0.0
213,0.0,0.0
214,2.0,0.0
215,2.0,0.0
216,3.0,0.0
217,3.0,0.0
218,1.0,0.0
219,2.0,0.0
220,3.0,0.0
221,4.0,0.0
222,2.0,0.0
223,2.0,0.0
224,4.0,0.0
225,2.0,0.0
226,2.0,0.0
227,2.0,0.0
228,2.0,0.0
229,1.0,0.0
230,2.0,0.0
231,3.0,0.0
232,3.0,0.0
233,4.0,0.0
234,2.0,0.0
235,3.0,0.0
236,0.0,0.0
237,2.0,0.0
238,4.0,0.0
239,2.0,0.0
240,2.0,0.0
241,5.0,0.0
242,1.0,0.0
243,1.0,0.0
244,2.0,0.0
245,1.0,0.0
246,2.0,0.0
247,3.0,0.0
248,4.0,0.0
249,3.0,0.0
250,1.0,0.0
251,4.0,0.0
252,2.0,0.0
253,0.0,0.0
254,2.0,0.0
255,0.0,0.0
256,4.0,0.0
257,3.0,0.0
258,5.0,0.0
259,2.0,0.0
260,2.0,0.0
261,2.0,0.0
262,2.0,0.0
263,2.0,0.0
264,4.0,0.0
265,2.0,0.0
266,2.0,0.0
267,2.0,0.0
268,1.0,0.0
269,3.0,0.0
270,2.0,0.0
271,2.0,0.0
272,1.0,0.0
273,4.0,0.0
274,1.0,0.0
275,5.0,0.0
276,5.0,0.0
277,0.0,0.0
278,2.0,0.0
279,2.0,0.0
280,3.0,0.0
281,1.0,0.0
282,3.0,0.0
283,3.0,0.0
284,2.0,0.0
285,2.0,0.0
286,2.0,0.0
287,2.0,0.0
288,0.0,0.0
289,5.0,0.0
290,1.0,0.0
291,6.0,0.0
292,1.0,0.0
293,2.0,0.0
294,1.0,0.0
295,2.0,0.0
296,3.0,0.0
297,4.0,0.0
298,2.0,0.0
299,1.0,0.0
