N_vals,throughput,stationary
1,1.0,0.0
2,2.0,0.0
3,2.0,0.0
4,1.0,0.0
5,1.0,0.0
6,3.0,0.0
7,1.0,0.0
8,2.0,0.0
9,2.0,0.0
10,1.0,0.0
11,2.0,0.0
12,2.0,0.0
13,1.0,0.0
14,3.0,0.0
15,1.0,0.0
16,1.0,0.0
17,3.0,0.0
18,1.0,0.0
19,1.0,0.0
20,2.0,0.0
21,2.0,0.0
22,1.0,0.0
23,2.0,0.0
24,2.0,0.0
25,2.0,0.0
26,2.0,0.0
27,0.0,0.0
28,2.0,0.0
29,2.0,0.0
30,2.0,0.0
31,1.0,0.0
32,1.0,0.0
33,2.0,0.0
34,3.0,0.0
35,1.0,0.0
36,3.0,0.0
37,1.0,0.0
38,1.0,0.0
39,2.0,0.0
40,1.0,0.0
41,2.0,0.0
42,2.0,0.0
43,1.0,0.0
44,2.0,0.0
45,2.0,0.0
46,2.0,0.0
47,1.0,0.0
48,2.0,0.0
49,2.0,0.0
50,1.0,0.0
51,2.0,0.0
52,2.0,0.0
53,2.0,0.0
54,1.0,0.0
55,2.0,0.0
56,0.0,0.0
57,2.0,0.0
58,3.0,0.0
59,2.0,0.0
60,1.0,0.0
61,2.0,0.0
62,0.0,0.0
63,3.0,0.0
64,2.0,0.0
65,2.0,0.0
66,0.0,0.0
67,3.0,0.0
68,3.0,0.0
69,0.0,0.0
70,1.0,0.0
71,2.0,0.0
72,2.0,0.0
73,1.0,0.0
74,2.0,0.0
75,2.0,0.0
76,1.0,0.0
77,3.0,0.0
78,1.0,0.0
79,2.0,0.0
80,1.0,0.0
81,1.0,0.0
82,3.0,0.0
83,0.0,0.0
84,3.0,0.0
85,1.0,0.0
86,2.0,0.0
87,1.0,0.0
88,1.0,0.0
89,3.0,0.0
90,1.0,0.0
91,3.0,0.0
92,1.0,0.0
93,0.0,0.0
94,4.0,0.0
95,1.0,0.0
96,1.0,0.0
97,1.0,0.0
98,4.0,0.0
99,0.0,0.0
100,1.0,0.0
101,2.0,0.0
102,3.0,0.0
103,1.0,0.0
104,3.0,0.0
105,1.0,0.0
106,3.0,0.0
107,0.0,0.0
108,2.0,0.0
109,2.0,0.0
110,2.0,0.0
111,1.0,0.0
112,1.0,0.0
113,2.0,0.0
114,1.0,0.0
115,2.0,0.0
116,2.0,0.0
117,2.0,0.0
118,0.0,0.0
119,3.0,0.0
120,2.0,0.0
121,2.0,0.0
122,1.0,0.0
123,1.0,0.0
124,2.0,0.0
125,1.0,0.0
126,3.0,0.0
127,1.0,0.0
128,2.0,0.0
129,1.0,0.0
130,2.0,0.0
131,3.0,0.0
132,2.0,0.0
133,1.0,0.0
134,1.0,0.0
135,3.0,0.0
136,0.0,0.0
137,3.0,0.0
138,0.0,0.0
139,2.0,0.0
140,3.0,0.0
141,1.0,0.0
142,2.0,0.0
143,0.0,0.0
144,3.0,0.0
145,2.0,0.0
146,2.0,0.0
147,2.0,0.0
148,1.0,0.0
149,3.0,0.0
150,0.0,0.0
151,1.0,0.0
152,3.0,0.0
153,1.0,0.0
154,0.0,0.0
155,2.0,0.0
156,2.0,0.0
157,1.0,0.0
158,3.0,0.0
159,2.0,0.0
160,3.0,0.0
161,0.0,0.0
162,1.0,0.0
163,1.0,0.0
164,4.0,0.0
165,0.0,0.0
166,1.0,0.0
167,3.0,0.0
168,2.0,0.0
169,2.0,0.0
170,2.0,0.0
171,2.0,0.0
172,0.0,0.0
173,3.0,0.0
174,1.0,0.0
175,0.0,0.0
176,4.0,0.0
177,1.0,0.0
178,1.0,0.0
179,2.0,0.0
180,3.0,0.0
181,0.0,0.0
182,4.0,0.0
183,1.0,0.0
184,0.0,0.0
