N_vals,throughput,stationary
1,2.0,0.0
2,1.0,0.0
3,3.0,0.0
4,2.0,0.0
5,1.0,0.0
6,2.0,0.0
7,3.0,0.0
8,2.0,0.0
9,1.0,0.0
10,2.0,0.0
11,3.0,0.0
12,1.0,0.0
13,2.0,0.0
14,2.0,0.0
15,2.0,0.0
16,2.0,0.0
17,2.0,0.0
18,2.0,0.0
19,1.0,0.0
20,3.0,0.0
21,2.0,0.0
22,2.0,0.0
23,2.0,0.0
24,2.0,0.0
25,2.0,0.0
26,1.0,0.0
27,3.0,0.0
28,1.0,0.0
29,2.0,0.0
30,3.0,0.0
31,2.0,0.0
32,1.0,0.0
33,3.0,0.0
34,1.0,0.0
35,2.0,0.0
36,2.0,0.0
37,2.0,0.0
38,2.0,0.0
39,2.0,0.0
40,1.0,0.0
41,4.0,0.0
42,1.0,0.0
43,2.0,0.0
44,1.0,0.0
45,2.0,0.0
46,2.0,0.0
47,3.0,0.0
48,2.0,0.0
49,1.0,0.0
50,1.0,0.0
51,3.0,0.0
52,2.0,0.0
53,3.0,0.0
54,1.0,0.0
55,2.0,0.0
56,3.0,0.0
57,1.0,0.0
58,3.0,0.0
59,1.0,0.0
60,3.0,0.0
61,1.0,0.0
62,3.0,0.0
63,1.0,0.0
64,2.0,0.0
65,2.0,0.0
66,3.0,0.0
67,0.0,0.0
68,1.0,0.0
69,3.0,0.0
70,2.0,0.0
71,2.0,0.0
72,1.0,0.0
73,4.0,0.0
74,1.0,0.0
75,2.0,0.0
76,2.0,0.0
77,2.0,0.0
78,2.0,0.0
79,1.0,0.0
80,3.0,0.0
81,1.0,0.0
82,4.0,0.0
83,1.0,0.0
84,2.0,0.0
85,0.0,0.0
86,4.0,0.0
87,1.0,0.0
88,3.0,0.0
89,1.0,0.0
90,3.0,0.0
91,2.0,0.0
92,1.0,0.0
93,2.0,0.0
94,3.0,0.0
95,2.0,0.0
96,1.0,0.0
97,2.0,0.0
98,2.0,0.0
99,2.0,0.0
100,4.0,0.0
101,0.0,0.0
102,4.0,0.0
103,0.0,0.0
104,3.0,0.0
105,2.0,0.0
106,1.0,0.0
107,2.0,0.0
108,2.0,0.0
109,1.0,0.0
110,3.0,0.0
111,1.0,0.0
112,2.0,0.0
113,4.0,0.0
114,0.0,0.0
115,3.0,0.0
116,0.0,0.0
117,3.0,0.0
118,2.0,0.0
119,3.0,0.0
120,0.0,0.0
121,3.0,0.0
122,1.0,0.0
123,4.0,0.0
124,1.0,0.0
125,2.0,0.0
126,1.0,0.0
127,4.0,0.0
128,0.0,0.0
129,3.0,0.0
130,2.0,0.0
131,1.0,0.0
132,3.0,0.0
133,1.0,0.0
134,3.0,0.0
135,3.0,0.0
136,1.0,0.0
137,2.0,0.0
138,2.0,0.0
139,2.0,0.0
140,1.0,0.0
141,2.0,0.0
142,2.0,0.0
143,2.0,0.0
144,1.0,0.0
145,3.0,0.0
146,0.0,0.0
147,4.0,0.0
148,1.0,0.0
149,2.0,0.0
150,3.0,0.0
151,1.0,0.0
152,3.0,0.0
153,1.0,0.0
154,2.0,0.0
155,3.0,0.0
156,2.0,0.0
157,2.0,0.0
158,1.0,0.0
159,1.0,0.0
160,3.0,0.0
161,2.0,0.0
162,3.0,0.0
163,2.0,0.0
164,2.0,0.0
165,2.0,0.0
166,0.0,0.0
167,2.0,0.0
168,3.0,0.0
