N_vals,throughput,stationary
1,1.0,0.0
2,2.0,0.0
3,1.0,0.0
4,1.0,0.0
5,2.0,0.0
6,1.0,0.0
7,2.0,0.0
8,1.0,0.0
9,2.0,0.0
10,2.0,0.0
11,1.0,0.0
12,2.0,0.0
13,1.0,0.0
14,2.0,0.0
15,0.0,0.0
16,2.0,0.0
17,1.0,0.0
18,2.0,0.0
19,2.0,0.0
20,0.0,0.0
21,3.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,2.0,0.0
26,1.0,0.0
27,2.0,0.0
28,2.0,0.0
29,0.0,0.0
30,2.0,0.0
31,2.0,0.0
32,1.0,0.0
33,1.0,0.0
34,2.0,0.0
35,2.0,0.0
36,1.0,0.0
37,1.0,0.0
38,2.0,0.0
39,2.0,0.0
40,0.0,0.0
41,2.0,0.0
42,2.0,0.0
43,2.0,0.0
44,2.0,0.0
45,2.0,0.0
46,0.0,0.0
47,1.0,0.0
48,2.0,0.0
49,1.0,0.0
50,2.0,0.0
51,1.0,0.0
52,1.0,0.0
53,3.0,0.0
54,0.0,0.0
55,2.0,0.0
56,2.0,0.0
57,0.0,0.0
58,3.0,0.0
59,1.0,0.0
60,2.0,0.0
61,1.0,0.0
62,0.0,0.0
63,2.0,0.0
64,2.0,0.0
65,2.0,0.0
66,1.0,0.0
67,1.0,0.0
68,2.0,0.0
69,2.0,0.0
70,1.0,0.0
71,2.0,0.0
72,1.0,0.0
73,1.0,0.0
74,1.0,0.0
75,2.0,0.0
76,2.0,0.0
77,1.0,0.0
78,2.0,0.0
79,1.0,0.0
80,1.0,0.0
81,2.0,0.0
82,1.0,0.0
83,1.0,0.0
84,2.0,0.0
85,2.0,0.0
86,1.0,0.0
87,2.0,0.0
88,2.0,0.0
89,2.0,0.0
90,0.0,0.0
91,0.0,0.0
92,2.0,0.0
93,3.0,0.0
94,1.0,0.0
95,0.0,0.0
96,2.0,0.0
97,3.0,0.0
98,1.0,0.0
99,1.0,0.0
100,2.0,0.0
101,1.0,0.0
102,2.0,0.0
103,2.0,0.0
104,1.0,0.0
105,0.0,0.0
106,2.0,0.0
107,1.0,0.0
108,2.0,0.0
109,1.0,0.0
110,2.0,0.0
111,1.0,0.0
112,1.0,0.0
113,2.0,0.0
114,4.0,0.0
115,0.0,0.0
116,1.0,0.0
117,2.0,0.0
118,1.0,0.0
119,2.0,0.0
120,1.0,0.0
121,0.0,0.0
122,4.0,0.0
123,2.0,0.0
124,0.0,0.0
125,0.0,0.0
126,3.0,0.0
127,1.0,0.0
128,2.0,0.0
129,1.0,0.0
130,2.0,0.0
131,1.0,0.0
132,1.0,0.0
133,0.0,0.0
134,4.0,0.0
135,1.0,0.0
136,0.0,0.0
137,0.0,0.0
138,4.0,0.0
139,3.0,0.0
140,0.0,0.0
141,1.0,0.0
142,1.0,0.0
143,2.0,0.0
144,2.0,0.0
145,0.0,0.0
146,0.0,0.0
147,4.0,0.0
148,1.0,0.0
149,2.0,0.0
150,2.0,0.0
151,1.0,0.0
152,0.0,0.0
153,3.0,0.0
154,1.0,0.0
155,1.0,0.0
156,2.0,0.0
157,2.0,0.0
158,1.0,0.0
159,2.0,0.0
160,2.0,0.0
161,1.0,0.0
162,0.0,0.0
163,2.0,0.0
164,3.0,0.0
165,1.0,0.0
166,1.0,0.0
167,1.0,0.0
168,2.0,0.0
169,1.0,0.0
170,1.0,0.0
171,2.0,0.0
172,1.0,0.0
173,2.0,0.0
174,1.0,0.0
175,0.0,0.0
176,3.0,0.0
177,1.0,0.0
178,2.0,0.0
179,1.0,0.0
180,1.0,0.0
181,2.0,0.0
182,4.0,0.0
183,0.0,0.0
184,1.0,0.0
